ASSESS_ID,AU_EPACat,PARAM_NAME,R3172ParameterName
UT16020201-012_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020201-014_00,5,TEMPERATURE,Max. Temperature
UT16020201-015_00,5,PH,pH
UT16020202-003_00,5,PH,pH
UT16020202-012_00,5,TEMPERATURE,Max. Temperature
UT16020202-012_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT16010202-010_00,5,SEDIMENTATION/SILTATION,SEDIMENTATION/SILTATION
UT16020202-019_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020101-007_00,5,SEDIMENTATION/SILTATION,SEDIMENTATION/SILTATION
UT16020202-027_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020101-011_00,4A,SEDIMENTATION/SILTATION,SEDIMENTATION/SILTATION
UT16020101-013_00,4A,SEDIMENTATION/SILTATION,SEDIMENTATION/SILTATION
UT16020101-014_00,5,SEDIMENTATION/SILTATION,SEDIMENTATION/SILTATION
UT16020202-042_00,5,TEMPERATURE,Max. Temperature
UT16020203-001_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020203-004_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16020203-005_00,5,ALUMINUM,Aluminum
UT16020203-006_00,5,ZINC,Zinc
UT16020203-006_00,5,ALUMINUM,Aluminum
UT16020203-009_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16020203-009_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020203-010_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16020203-013_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020203-014_00,5,ARSENIC,Arsenic
UT16020203-016_00,5,ZINC,Zinc
UT16020203-016_00,5,CADMIUM,Cadmium
UT16020203-026_00,5,TEMPERATURE,Max. Temperature
UT16020203-027_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16020204-001_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16020204-001_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020204-001_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16020204-001_00,5,COPPER,Copper
UT16020204-001_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT16020204-002_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16020204-002_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020204-002_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16020204-002_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT16020204-003_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT16020204-003_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT16020204-003_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16020204-003_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020204-004_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020204-004_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16020204-004_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16020204-005_00,5,ESCHERICHIA COLI (E. COLI),E. coli
